protein_id,protein_name,cellular_location,immunogenicity_score,base_score
ENSP00000249487,ENSG00000249487 protein,,0.0,0.0
ENSP00000249488,ENSG00000249488 protein,,0.0,0.0
ENSP00000249489,ENSG00000249489 protein,,0.05,0.0
ENSP00000249490,ENSG00000249490 protein,,0.03,0.0
ENSP00000249491,ENSG00000249491 protein,,0.03,0.0
ENSP00000249492,ENSG00000249492 protein,,0.05,0.0
ENSP00000249493,ENSG00000249493 protein,,0.0,0.0
ENSP00000249494,ENSG00000249494 protein,,0.05,0.0
ENSP00000249495,ENSG00000249495 protein,,0.03,0.0
ENSP00000249497,ENSG00000249497 protein,,0.03,0.0
ENSP00000249500,ENSG00000249500 protein,,0.03,0.0
ENSP00000249501,ENSG00000249501 protein,,0.03,0.0
ENSP00000249502,ENSG00000249502 protein,,0.05,0.0
ENSP00000249503,ENSG00000249503 protein,,0.03,0.0
ENSP00000249504,ENSG00000249504 protein,,0.03,0.0
ENSP00000249505,ENSG00000249505 protein,,0.0,0.0
ENSP00000249506,ENSG00000249506 protein,,0.0,0.0
ENSP00000249509,ENSG00000249509 protein,,0.05,0.0
ENSP00000249510,ENSG00000249510 protein,,0.05,0.0
ENSP00000249513,ENSG00000249513 protein,,0.03,0.0
ENSP00000249514,ENSG00000249514 protein,,0.0,0.0
ENSP00000249515,ENSG00000249515 protein,,0.0,0.0
ENSP00000249516,ENSG00000249516 protein,,0.0,0.0
ENSP00000249518,ENSG00000249518 protein,,0.03,0.0
ENSP00000249519,ENSG00000249519 protein,,0.03,0.0
ENSP00000249520,ENSG00000249520 protein,,0.03,0.0
ENSP00000249521,ENSG00000249521 protein,,0.03,0.0
ENSP00000249522,ENSG00000249522 protein,,0.03,0.0
ENSP00000249525,ENSG00000249525 protein,,0.03,0.0
ENSP00000249526,ENSG00000249526 protein,,0.0,0.0
ENSP00000249531,ENSG00000249531 protein,,0.03,0.0
ENSP00000249532,ENSG00000249532 protein,,0.05,0.0
ENSP00000249534,ENSG00000249534 protein,,0.05,0.0
ENSP00000249539,ENSG00000249539 protein,,0.05,0.0
ENSP00000249540,ENSG00000249540 protein,,0.0,0.0
ENSP00000249541,ENSG00000249541 protein,,0.0,0.0
ENSP00000249542,ENSG00000249542 protein,,0.03,0.0
ENSP00000249545,ENSG00000249545 protein,,0.03,0.0
ENSP00000249547,ENSG00000249547 protein,,0.03,0.0
ENSP00000249550,ENSG00000249550 protein,,0.1,0.0
ENSP00000249551,ENSG00000249551 protein,,0.03,0.0
ENSP00000249553,ENSG00000249553 protein,,0.03,0.0
ENSP00000249555,ENSG00000249555 protein,,0.03,0.0
ENSP00000249557,ENSG00000249557 protein,,0.03,0.0
ENSP00000249558,ENSG00000249558 protein,,0.03,0.0
ENSP00000249562,ENSG00000249562 protein,,0.03,0.0
ENSP00000249563,ENSG00000249563 protein,,0.0,0.0
ENSP00000249564,ENSG00000249564 protein,,0.03,0.0
ENSP00000249565,ENSG00000249565 protein,,0.1,0.0
ENSP00000249568,ENSG00000249568 protein,,0.0,0.0
ENSP00000249572,ENSG00000249572 protein,,0.05,0.0
ENSP00000249574,ENSG00000249574 protein,,0.05,0.0
ENSP00000249577,ENSG00000249577 protein,,0.0,0.0
ENSP00000249579,ENSG00000249579 protein,,0.03,0.0
ENSP00000249580,ENSG00000249580 protein,,0.03,0.0
ENSP00000249581,CLRN2 protein,membrane,0.9600000000000001,0.93
ENSP00000249582,ENSG00000249582 protein,,0.03,0.0
ENSP00000249584,ENSG00000249584 protein,,0.0,0.0
ENSP00000249588,ENSG00000249588 protein,,0.05,0.0
ENSP00000249590,ENSG00000249590 protein,,0.03,0.0
ENSP00000249592,ENSG00000249592 protein,,0.1,0.0
ENSP00000249593,ENSG00000249593 protein,,0.05,0.0
ENSP00000249599,ENSG00000249599 protein,,0.0,0.0
ENSP00000249600,ENSG00000249600 protein,,0.03,0.0
ENSP00000249601,ENSG00000249601 protein,,0.0,0.0
ENSP00000249602,ENSG00000249602 protein,,0.05,0.0
ENSP00000249604,ENSG00000249604 protein,,0.05,0.0
ENSP00000249605,ENSG00000249605 protein,,0.0,0.0
ENSP00000249606,ENSG00000249606 protein,,0.03,0.0
ENSP00000249607,ENSG00000249607 protein,,0.03,0.0
ENSP00000249609,ENSG00000249609 protein,,0.0,0.0
ENSP00000249610,ENSG00000249610 protein,,0.0,0.0
ENSP00000249613,ENSG00000249613 protein,,0.03,0.0
ENSP00000249614,ENSG00000249614 protein,,0.03,0.0
ENSP00000249616,ENSG00000249616 protein,,0.0,0.0
ENSP00000249617,ENSG00000249617 protein,,0.0,0.0
ENSP00000249618,ENSG00000249618 protein,,0.0,0.0
ENSP00000249619,ENSG00000249619 protein,,0.0,0.0
ENSP00000249620,ENSG00000249620 protein,,0.03,0.0
ENSP00000249621,ENSG00000249621 protein,,0.0,0.0
ENSP00000249623,ENSG00000249623 protein,,0.03,0.0
ENSP00000249624,IFNAR2-IL10RB protein,membrane,0.87,0.82
ENSP00000249626,ENSG00000249626 protein,,0.05,0.0
ENSP00000249627,ENSG00000249627 protein,,0.0,0.0
ENSP00000249628,ENSG00000249628 protein,,0.05,0.0
ENSP00000249631,ENSG00000249631 protein,,0.05,0.0
ENSP00000249633,ENSG00000249633 protein,,0.0,0.0
ENSP00000249634,ENSG00000249634 protein,,0.03,0.0
ENSP00000249635,ENSG00000249635 protein,,0.05,0.0
ENSP00000249637,ENSG00000249637 protein,,0.05,0.0
ENSP00000249638,ENSG00000249638 protein,,0.03,0.0
ENSP00000249639,ENSG00000249639 protein,,0.0,0.0
ENSP00000249641,ENSG00000249641 protein,,0.03,0.0
ENSP00000249642,ENSG00000249642 protein,,0.0,0.0
ENSP00000249646,ENSG00000249646 protein,,0.0,0.0
ENSP00000249647,ENSG00000249647 protein,,0.0,0.0
ENSP00000249649,ENSG00000249649 protein,,0.03,0.0
ENSP00000249650,ENSG00000249650 protein,,0.05,0.0
ENSP00000249654,ENSG00000249654 protein,,0.03,0.0
ENSP00000249655,ENSG00000249655 protein,,0.05,0.0
ENSP00000249658,ENSG00000249658 protein,,0.03,0.0
ENSP00000249661,ENSG00000249661 protein,,0.05,0.0
ENSP00000249662,LINC02218 protein,nucleus,0.54,0.49
ENSP00000249664,ENSG00000249664 protein,,0.05,0.0
ENSP00000249667,ENSG00000249667 protein,,0.0,0.0
ENSP00000249668,ENSG00000249668 protein,,0.0,0.0
ENSP00000249669,CARMN protein,,0.1,0.0
ENSP00000249673,ENSG00000249673 protein,,0.1,0.0
ENSP00000249675,ENSG00000249675 protein,,0.03,0.0
ENSP00000249678,ENSG00000249678 protein,,0.0,0.0
ENSP00000249679,ENSG00000249679 protein,,0.05,0.0
ENSP00000249680,ENSG00000249680 protein,,0.03,0.0
ENSP00000249681,ENSG00000249681 protein,,0.0,0.0
ENSP00000249684,ENSG00000249684 protein,,0.05,0.0
ENSP00000249685,ENSG00000249685 protein,,0.05,0.0
ENSP00000249686,ENSG00000249686 protein,,0.03,0.0
ENSP00000249688,ENSG00000249688 protein,,0.03,0.0
ENSP00000249689,ENSG00000249689 protein,,0.03,0.0
ENSP00000249690,ENSG00000249690 protein,,0.05,0.0
ENSP00000249691,ENSG00000249691 protein,,0.03,0.0
ENSP00000249692,ENSG00000249692 protein,,0.03,0.0
ENSP00000249693,ENSG00000249693 protein,,0.0,0.0
ENSP00000249695,ENSG00000249695 protein,,0.05,0.0
ENSP00000249697,ENSG00000249697 protein,,0.0,0.0
ENSP00000249698,ENSG00000249698 protein,,0.03,0.0
ENSP00000249699,ENSG00000249699 protein,,0.05,0.0
ENSP00000249700,ENSG00000249700 protein,,0.05,0.0
ENSP00000249706,ENSG00000249706 protein,,0.05,0.0
ENSP00000249708,ENSG00000249708 protein,,0.03,0.0
ENSP00000249709,ZNF564 protein,nucleus,0.64,0.59
ENSP00000249710,ENSG00000249710 protein,,0.03,0.0
ENSP00000249713,ENSG00000249713 protein,,0.0,0.0
ENSP00000249715,FER1L5 protein,membrane,0.9,0.85
ENSP00000249717,ENSG00000249717 protein,,0.05,0.0
ENSP00000249721,ENSG00000249721 protein,,0.05,0.0
ENSP00000249722,ENSG00000249722 protein,,0.03,0.0
ENSP00000249725,ENSG00000249725 protein,,0.03,0.0
ENSP00000249726,ENSG00000249726 protein,,0.03,0.0
ENSP00000249727,ENSG00000249727 protein,,0.03,0.0
ENSP00000249729,ENSG00000249729 protein,,0.03,0.0
ENSP00000249730,ENSG00000249730 protein,,0.03,0.0
ENSP00000249731,ENSG00000249731 protein,,0.0,0.0
ENSP00000249735,ENSG00000249735 protein,,0.03,0.0
ENSP00000249736,ENSG00000249736 protein,,0.0,0.0
ENSP00000249737,ENSG00000249737 protein,,0.03,0.0
ENSP00000249738,ENSG00000249738 protein,,0.05,0.0
ENSP00000249740,ENSG00000249740 protein,,0.05,0.0
ENSP00000249741,ENSG00000249741 protein,,0.05,0.0
ENSP00000249742,ENSG00000249742 protein,,0.05,0.0
ENSP00000249743,ENSG00000249743 protein,,0.05,0.0
ENSP00000249744,ENSG00000249744 protein,,0.03,0.0
ENSP00000249745,ENSG00000249745 protein,,0.0,0.0
ENSP00000249746,ENSG00000249746 protein,,0.05,0.0
ENSP00000249747,ENSG00000249747 protein,,0.03,0.0
ENSP00000249748,ENSG00000249748 protein,,0.03,0.0
ENSP00000249751,ECSCR protein,membrane,0.93,0.88
ENSP00000249752,ENSG00000249752 protein,,0.0,0.0
ENSP00000249753,ENSG00000249753 protein,,0.05,0.0
ENSP00000249754,ENSG00000249754 protein,,0.03,0.0
ENSP00000249755,ENSG00000249755 protein,,0.0,0.0
ENSP00000249761,ENSG00000249761 protein,,0.0,0.0
ENSP00000249763,ENSG00000249763 protein,,0.05,0.0
ENSP00000249764,ENSG00000249764 protein,,0.03,0.0
ENSP00000249766,ENSG00000249766 protein,,0.0,0.0
ENSP00000249767,ENSG00000249767 protein,,0.05,0.0
ENSP00000249768,ENSG00000249768 protein,,0.0,0.0
ENSP00000249770,ENSG00000249770 protein,,0.03,0.0
ENSP00000249771,ENSG00000249771 protein,,0.0,0.0
ENSP00000249772,ENSG00000249772 protein,,0.03,0.0
ENSP00000249773,ENSG00000249773 protein,mitochondria,0.3899999999999999,0.3399999999999999
ENSP00000249774,ENSG00000249774 protein,,0.05,0.0
ENSP00000249776,ENSG00000249776 protein,,0.0,0.0
ENSP00000249777,ENSG00000249777 protein,,0.0,0.0
ENSP00000249778,ENSG00000249778 protein,,0.03,0.0
ENSP00000249779,ENSG00000249779 protein,,0.0,0.0
ENSP00000249780,ENSG00000249780 protein,,0.05,0.0
ENSP00000249781,ENSG00000249781 protein,,0.0,0.0
ENSP00000249782,ENSG00000249782 protein,,0.03,0.0
ENSP00000249784,SCARNA22 protein,nucleus,0.48,0.45
ENSP00000249785,ENSG00000249785 protein,,0.03,0.0
ENSP00000249786,ENSG00000249786 protein,,0.05,0.0
ENSP00000249787,ENSG00000249787 protein,,0.0,0.0
ENSP00000249790,ENSG00000249790 protein,,0.05,0.0
ENSP00000249791,ENSG00000249791 protein,,0.05,0.0
ENSP00000249792,ENSG00000249792 protein,,0.0,0.0
ENSP00000249795,ENSG00000249795 protein,,0.03,0.0
ENSP00000249797,ENSG00000249797 protein,,0.05,0.0
ENSP00000249798,ENSG00000249798 protein,,0.0,0.0
ENSP00000249799,ENSG00000249799 protein,,0.05,0.0
ENSP00000249803,ENSG00000249803 protein,,0.05,0.0
ENSP00000249806,ENSG00000249806 protein,,0.05,0.0
ENSP00000249807,ENSG00000249807 protein,,0.0,0.0
ENSP00000249808,ENSG00000249808 protein,,0.03,0.0
ENSP00000249811,USP17L21 protein,nucleus,0.49,0.46
ENSP00000249815,ENSG00000249815 protein,,0.05,0.0
ENSP00000249816,ENSG00000249816 protein,,0.05,0.0
ENSP00000249818,ENSG00000249818 protein,,0.03,0.0
ENSP00000249819,ENSG00000249819 protein,,0.03,0.0
ENSP00000249820,ENSG00000249820 protein,,0.03,0.0
ENSP00000249825,ENSG00000249825 protein,,0.05,0.0
ENSP00000249828,ENSG00000249828 protein,,0.03,0.0
ENSP00000249829,ENSG00000249829 protein,,0.03,0.0
ENSP00000249830,ENSG00000249830 protein,,0.03,0.0
ENSP00000249831,ENSG00000249831 protein,,0.03,0.0
ENSP00000249833,ENSG00000249833 protein,,0.03,0.0
ENSP00000249834,ENSG00000249834 protein,,0.0,0.0
ENSP00000249835,ENSG00000249835 protein,,0.0,0.0
ENSP00000249837,ENSG00000249837 protein,,0.0,0.0
ENSP00000249838,ENSG00000249838 protein,,0.0,0.0
ENSP00000249839,ENSG00000249839 protein,,0.05,0.0
ENSP00000249840,ENSG00000249840 protein,,0.0,0.0
ENSP00000249842,ENSG00000249842 protein,,0.0,0.0
ENSP00000249843,ENSG00000249843 protein,,0.03,0.0
ENSP00000249844,ENSG00000249844 protein,,0.03,0.0
ENSP00000249846,ENSG00000249846 protein,,0.05,0.0
ENSP00000249847,ENSG00000249847 protein,,0.03,0.0
ENSP00000249848,ENSG00000249848 protein,,0.0,0.0
ENSP00000249849,ENSG00000249849 protein,,0.05,0.0
ENSP00000249850,ENSG00000249850 protein,,0.05,0.0
ENSP00000249851,ENSG00000249851 protein,,0.0,0.0
ENSP00000249852,ENSG00000249852 protein,,0.05,0.0
ENSP00000249853,HS3ST5 protein,membrane,0.86,0.8099999999999999
ENSP00000249854,ENSG00000249854 protein,,0.03,0.0
ENSP00000249855,ENSG00000249855 protein,,0.1,0.0
ENSP00000249856,ENSG00000249856 protein,,0.0,0.0
ENSP00000249857,ENSG00000249857 protein,,0.0,0.0
ENSP00000249858,ENSG00000249858 protein,,0.05,0.0
ENSP00000249859,PVT1 protein,,0.1,0.0
ENSP00000249860,ENSG00000249860 protein,,0.05,0.0
ENSP00000249861,LGALS16 protein,membrane,0.8,0.77
ENSP00000249863,ENSG00000249863 protein,,0.05,0.0
ENSP00000249865,ENSG00000249865 protein,,0.03,0.0
ENSP00000249866,ENSG00000249866 protein,,0.0,0.0
ENSP00000249867,ENSG00000249867 protein,,0.0,0.0
ENSP00000249868,ENSG00000249868 protein,,0.03,0.0
ENSP00000249869,ENSG00000249869 protein,,0.03,0.0
ENSP00000249870,ENSG00000249870 protein,,0.0,0.0
ENSP00000249873,ENSG00000249873 protein,,0.03,0.0
ENSP00000249875,ENSG00000249875 protein,,0.03,0.0
ENSP00000249876,ENSG00000249876 protein,,0.0,0.0
ENSP00000249877,ENSG00000249877 protein,,0.03,0.0
ENSP00000249878,ENSG00000249878 protein,,0.03,0.0
ENSP00000249881,ENSG00000249881 protein,,0.0,0.0
ENSP00000249882,ENSG00000249882 protein,,0.0,0.0
ENSP00000249883,ENSG00000249883 protein,,0.03,0.0
ENSP00000249884,RNF103-CHMP3 protein,membrane,0.93,0.88
ENSP00000249885,ENSG00000249885 protein,,0.05,0.0
ENSP00000249887,ENSG00000249887 protein,,0.03,0.0
ENSP00000249888,ENSG00000249888 protein,,0.0,0.0
ENSP00000249889,ENSG00000249889 protein,,0.0,0.0
ENSP00000249890,ENSG00000249890 protein,,0.03,0.0
ENSP00000249891,ENSG00000249891 protein,,0.03,0.0
ENSP00000249892,ENSG00000249892 protein,,0.03,0.0
ENSP00000249893,ENSG00000249893 protein,,0.03,0.0
ENSP00000249894,ENSG00000249894 protein,,0.0,0.0
ENSP00000249896,ENSG00000249896 protein,,0.05,0.0
ENSP00000249898,ENSG00000249898 protein,,0.1,0.0
ENSP00000249899,ENSG00000249899 protein,,0.05,0.0
ENSP00000249901,ENSG00000249901 protein,,0.03,0.0
ENSP00000249904,ENSG00000249904 protein,,0.03,0.0
ENSP00000249906,ENSG00000249906 protein,,0.0,0.0
ENSP00000249908,ENSG00000249908 protein,,0.03,0.0
ENSP00000249909,ENSG00000249909 protein,,0.03,0.0
ENSP00000249910,ENSG00000249910 protein,,0.03,0.0
ENSP00000249912,ENSG00000249912 protein,,0.0,0.0
ENSP00000249915,PDCD6 protein,membrane,0.8999999999999999,0.7999999999999999
ENSP00000249916,ENSG00000249916 protein,,0.05,0.0
ENSP00000249917,ENSG00000249917 protein,,0.0,0.0
ENSP00000249919,ENSG00000249919 protein,,0.0,0.0
ENSP00000249920,ENSG00000249920 protein,,0.05,0.0
ENSP00000249921,ENSG00000249921 protein,,0.05,0.0
ENSP00000249923,ENSG00000249923 protein,,0.05,0.0
ENSP00000249924,ENSG00000249924 protein,,0.03,0.0
ENSP00000249926,ENSG00000249926 protein,,0.03,0.0
ENSP00000249927,ENSG00000249927 protein,,0.03,0.0
ENSP00000249928,ENSG00000249928 protein,,0.0,0.0
ENSP00000249930,ENSG00000249930 protein,,0.0,0.0
ENSP00000249931,GOLGA8K protein,membrane,0.89,0.89
ENSP00000249934,ENSG00000249934 protein,,0.0,0.0
ENSP00000249936,ENSG00000249936 protein,,0.1,0.0
ENSP00000249937,ENSG00000249937 protein,,0.05,0.0
ENSP00000249941,ENSG00000249941 protein,,0.03,0.0
ENSP00000249942,ENSG00000249942 protein,,0.05,0.0
ENSP00000249943,ENSG00000249943 protein,,0.03,0.0
ENSP00000249944,ENSG00000249944 protein,,0.03,0.0
ENSP00000249945,ENSG00000249945 protein,,0.03,0.0
ENSP00000249947,ENSG00000249947 protein,,0.05,0.0
ENSP00000249948,ENSG00000249948 protein,,0.1,0.0
ENSP00000249950,ENSG00000249950 protein,,0.03,0.0
ENSP00000249951,ENSG00000249951 protein,,0.0,0.0
ENSP00000249955,ENSG00000249955 protein,,0.0,0.0
ENSP00000249956,ENSG00000249956 protein,,0.03,0.0
ENSP00000249958,ENSG00000249958 protein,,0.0,0.0
ENSP00000249959,ENSG00000249959 protein,,0.03,0.0
ENSP00000249960,ENSG00000249960 protein,,0.0,0.0
ENSP00000249961,TERB1 protein,nucleus,0.6100000000000001,0.56
ENSP00000249963,ENSG00000249963 protein,,0.03,0.0
ENSP00000249965,ENSG00000249965 protein,,0.05,0.0
ENSP00000249966,ENSG00000249966 protein,,0.03,0.0
ENSP00000249967,ENSG00000249967 protein,membrane,0.81,0.78
ENSP00000249970,ENSG00000249970 protein,,0.03,0.0
ENSP00000249971,ENSG00000249971 protein,,0.03,0.0
ENSP00000249973,ENSG00000249973 protein,,0.03,0.0
ENSP00000249975,ENSG00000249975 protein,,0.03,0.0
ENSP00000249976,ENSG00000249976 protein,,0.0,0.0
ENSP00000249977,ENSG00000249977 protein,,0.0,0.0
ENSP00000249978,ENSG00000249978 protein,,0.05,0.0
ENSP00000249981,ENSG00000249981 protein,,0.03,0.0
ENSP00000249982,ENSG00000249982 protein,,0.03,0.0
ENSP00000249984,ENSG00000249984 protein,,0.0,0.0
ENSP00000249985,ENSG00000249985 protein,,0.0,0.0
ENSP00000249986,ENSG00000249986 protein,,0.05,0.0
ENSP00000249987,ENSG00000249987 protein,,0.05,0.0
ENSP00000249988,ENSG00000249988 protein,,0.0,0.0
ENSP00000249990,ENSG00000249990 protein,,0.03,0.0
ENSP00000249992,TMEM158 protein,membrane,0.94,0.84
ENSP00000249993,ENSG00000249993 protein,,0.05,0.0
ENSP00000249994,ENSG00000249994 protein,,0.0,0.0
ENSP00000249995,ENSG00000249995 protein,,0.03,0.0
ENSP00000249996,ENSG00000249996 protein,,0.05,0.0
ENSP00000249997,ENSG00000249997 protein,,0.03,0.0
ENSP00000249998,ENSG00000249998 protein,,0.0,0.0
ENSP00000250001,ENSG00000250001 protein,,0.0,0.0
ENSP00000250006,ENSG00000250006 protein,,0.03,0.0
ENSP00000250007,GJD2-DT protein,membrane,0.83,0.83
ENSP00000250011,ENSG00000250011 protein,,0.05,0.0
ENSP00000250012,ENSG00000250012 protein,,0.05,0.0
ENSP00000250013,ENSG00000250013 protein,,0.03,0.0
ENSP00000250015,ENSG00000250015 protein,,0.05,0.0
ENSP00000250016,ENSG00000250016 protein,,0.0,0.0
ENSP00000250017,ENSG00000250017 protein,,0.03,0.0
ENSP00000250020,ENSG00000250020 protein,,0.0,0.0
ENSP00000250021,ARPIN-AP3S2 protein,membrane,0.78,0.75
ENSP00000250024,ENSG00000250024 protein,,0.03,0.0
ENSP00000250025,ENSG00000250025 protein,,0.0,0.0
ENSP00000250026,ENSG00000250026 protein,,0.0,0.0
ENSP00000250027,ENSG00000250027 protein,,0.05,0.0
ENSP00000250030,ENSG00000250030 protein,,0.0,0.0
ENSP00000250031,ENSG00000250031 protein,,0.05,0.0
ENSP00000250032,ENSG00000250032 protein,,0.03,0.0
ENSP00000250033,ENSG00000250033 protein,,0.05,0.0
ENSP00000250034,ENSG00000250034 protein,,0.03,0.0
ENSP00000250036,IGKV1D-37 protein,secreted,0.6799999999999999,0.6299999999999999
ENSP00000250037,ENSG00000250037 protein,,0.03,0.0
ENSP00000250038,ENSG00000250038 protein,,0.0,0.0
ENSP00000250039,ENSG00000250039 protein,,0.05,0.0
ENSP00000250040,ENSG00000250040 protein,,0.03,0.0
ENSP00000250041,ENSG00000250041 protein,,0.05,0.0
ENSP00000250042,ENSG00000250042 protein,,0.0,0.0
ENSP00000250043,ENSG00000250043 protein,,0.0,0.0
ENSP00000250045,ENSG00000250045 protein,,0.0,0.0
ENSP00000250046,ENSG00000250046 protein,,0.03,0.0
ENSP00000250048,ENSG00000250048 protein,,0.0,0.0
ENSP00000250049,ENSG00000250049 protein,,0.05,0.0
ENSP00000250050,ENSG00000250050 protein,,0.05,0.0
ENSP00000250053,ENSG00000250053 protein,,0.0,0.0
ENSP00000250056,ENSG00000250056 protein,,0.05,0.0
ENSP00000250057,ENSG00000250057 protein,,0.05,0.0
ENSP00000250060,ENSG00000250060 protein,,0.0,0.0
ENSP00000250062,ENSG00000250062 protein,,0.0,0.0
ENSP00000250064,ENSG00000250064 protein,,0.0,0.0
ENSP00000250066,ENSG00000250066 protein,,0.0,0.0
ENSP00000250067,ENSG00000250067 protein,,0.1,0.0
ENSP00000250068,ENSG00000250068 protein,,0.05,0.0
ENSP00000250069,ENSG00000250069 protein,,0.05,0.0
ENSP00000250071,ENSG00000250071 protein,,0.05,0.0
ENSP00000250072,ENSG00000250072 protein,,0.05,0.0
ENSP00000250073,ENSG00000250073 protein,,0.1,0.0
ENSP00000250074,ENSG00000250074 protein,,0.03,0.0
ENSP00000250075,ENSG00000250075 protein,,0.05,0.0
ENSP00000250076,ENSG00000250076 protein,,0.0,0.0
ENSP00000250078,ENSG00000250078 protein,,0.03,0.0
ENSP00000250079,ENSG00000250079 protein,,0.03,0.0
ENSP00000250080,ENSG00000250080 protein,,0.03,0.0
ENSP00000250081,ENSG00000250081 protein,,0.05,0.0
ENSP00000250082,ENSG00000250082 protein,,0.03,0.0
ENSP00000250084,ENSG00000250084 protein,,0.05,0.0
ENSP00000250088,ENSG00000250088 protein,,0.03,0.0
ENSP00000250090,ENSG00000250090 protein,,0.0,0.0
ENSP00000250091,ENSG00000250091 protein,,0.05,0.0
ENSP00000250092,ENSG00000250092 protein,,0.03,0.0
ENSP00000250095,ENSG00000250095 protein,,0.03,0.0
ENSP00000250098,ENSG00000250098 protein,,0.0,0.0
ENSP00000250099,ENSG00000250099 protein,,0.03,0.0
ENSP00000250100,ENSG00000250100 protein,,0.03,0.0
ENSP00000250101,ENSG00000250101 protein,,0.05,0.0
ENSP00000250102,ENSG00000250102 protein,,0.0,0.0
ENSP00000250103,ENSG00000250103 protein,,0.05,0.0
ENSP00000250105,ENSG00000250105 protein,,0.03,0.0
ENSP00000250106,ENSG00000250106 protein,,0.0,0.0
ENSP00000250107,ENSG00000250107 protein,,0.0,0.0
ENSP00000250111,ENSG00000250111 protein,,0.03,0.0
ENSP00000250114,ENSG00000250114 protein,,0.0,0.0
ENSP00000250115,ENSG00000250115 protein,,0.0,0.0
ENSP00000250116,ENSG00000250116 protein,,0.05,0.0
ENSP00000250118,ENSG00000250118 protein,,0.03,0.0
ENSP00000250120,PCDHA10 protein,membrane,0.8400000000000001,0.79
ENSP00000250122,ENSG00000250122 protein,,0.0,0.0
ENSP00000250124,ENSG00000250124 protein,,0.03,0.0
ENSP00000250125,ENSG00000250125 protein,,0.0,0.0
ENSP00000250126,ENSG00000250126 protein,,0.05,0.0
ENSP00000250127,ENSG00000250127 protein,,0.0,0.0
ENSP00000250129,ENSG00000250129 protein,,0.0,0.0
ENSP00000250130,ENSG00000250130 protein,,0.05,0.0
ENSP00000250131,ENSG00000250131 protein,,0.05,0.0
ENSP00000250132,ENSG00000250132 protein,,0.05,0.0
ENSP00000250133,ENSG00000250133 protein,,0.0,0.0
ENSP00000250135,ENSG00000250135 protein,,0.0,0.0
ENSP00000250137,ENSG00000250137 protein,,0.05,0.0
ENSP00000250138,ENSG00000250138 protein,,0.05,0.0
ENSP00000250140,ENSG00000250140 protein,,0.0,0.0
ENSP00000250141,ENSG00000250141 protein,,0.0,0.0
ENSP00000250144,ENSG00000250144 protein,,0.05,0.0
ENSP00000250145,ENSG00000250145 protein,,0.0,0.0
ENSP00000250147,ENSG00000250147 protein,,0.0,0.0
ENSP00000250148,ENSG00000250148 protein,,0.05,0.0
ENSP00000250149,ENSG00000250149 protein,,0.03,0.0
ENSP00000250150,ENSG00000250150 protein,,0.03,0.0
ENSP00000250151,ARPC4-TTLL3 protein,cytoplasm,0.6799999999999999,0.6799999999999999
ENSP00000250155,ENSG00000250155 protein,,0.05,0.0
ENSP00000250156,ENSG00000250156 protein,,0.0,0.0
ENSP00000250158,ENSG00000250158 protein,,0.0,0.0
ENSP00000250159,ENSG00000250159 protein,,0.05,0.0
ENSP00000250161,ENSG00000250161 protein,,0.0,0.0
ENSP00000250162,ENSG00000250162 protein,,0.0,0.0
ENSP00000250164,ENSG00000250164 protein,,0.03,0.0
ENSP00000250166,ENSG00000250166 protein,,0.0,0.0
ENSP00000250167,ENSG00000250167 protein,,0.0,0.0
ENSP00000250169,ENSG00000250169 protein,,0.03,0.0
ENSP00000250170,ENSG00000250170 protein,,0.0,0.0
ENSP00000250173,ENSG00000250173 protein,,0.0,0.0
ENSP00000250174,ENSG00000250174 protein,,0.0,0.0
ENSP00000250180,ENSG00000250180 protein,,0.0,0.0
ENSP00000250182,ENSG00000250182 protein,,0.1,0.0
ENSP00000250183,ENSG00000250183 protein,,0.03,0.0
ENSP00000250185,ENSG00000250185 protein,,0.0,0.0
ENSP00000250186,ENSG00000250186 protein,,0.03,0.0
ENSP00000250189,ENSG00000250189 protein,,0.0,0.0
ENSP00000250190,ENSG00000250190 protein,,0.03,0.0
ENSP00000250191,ENSG00000250191 protein,,0.03,0.0
ENSP00000250192,ENSG00000250192 protein,,0.03,0.0
ENSP00000250193,ENSG00000250193 protein,,0.03,0.0
ENSP00000250194,ENSG00000250194 protein,,0.0,0.0
ENSP00000250195,ENSG00000250195 protein,,0.0,0.0
ENSP00000250197,ENSG00000250197 protein,,0.0,0.0
ENSP00000250198,ENSG00000250198 protein,,0.0,0.0
ENSP00000250200,ENSG00000250200 protein,,0.03,0.0
ENSP00000250202,ENSG00000250202 protein,,0.0,0.0
ENSP00000250204,ENSG00000250204 protein,,0.03,0.0
ENSP00000250205,ENSG00000250205 protein,,0.03,0.0
ENSP00000250207,ENSG00000250207 protein,,0.03,0.0
ENSP00000250208,ENSG00000250208 protein,,0.1,0.0
ENSP00000250210,ENSG00000250210 protein,,0.03,0.0
ENSP00000250213,ENSG00000250213 protein,,0.03,0.0
ENSP00000250214,ENSG00000250214 protein,,0.0,0.0
ENSP00000250215,ENSG00000250215 protein,,0.05,0.0
ENSP00000250218,ENSG00000250218 protein,,0.0,0.0
ENSP00000250219,ENSG00000250219 protein,,0.0,0.0
ENSP00000250220,ENSG00000250220 protein,,0.05,0.0
ENSP00000250221,ENSG00000250221 protein,,0.05,0.0
ENSP00000250222,ENSG00000250222 protein,,0.05,0.0
ENSP00000250223,ENSG00000250223 protein,,0.03,0.0
